MINN.HUB
Day Ahead, Real Time, NN Output

Day1
50.0, 38.1, 33.3353264755
46.8, 41.54, 31.1334498064
46.0, 51.0, 33.2846068565
52.24, 84.49, 38.2826963473
44.09, 38.02, 41.0365182821
30.23, 70.36, 34.0667241023
23.01, 34.93, 29.4898468517

Day9
17.22, 76.38, 22.8538945301
15.94, 25.37, 32.2808951841
15.22, 23.75, 32.5401527685
16.02, 24.07, 28.5314553427
18.41, 26.34, 20.3946477262
22.16, 29.11, 21.6121234732
34.45, 27.45, 70.7410345657
34.29, 34.01, 29.4752341754
38.28, 39.58, 26.2884334015
42.46, 43.0, 62.5380855817
41.03, 41.75, 38.8540132848
51.7, 59.34, 32.5638137112
52.99, 44.08, 41.1095419293
57.08, 43.85, 52.3205448562
59.65, 67.29, 37.0958874806
55.15, 82.6, 29.5229696882
48.79, 50.27, 32.9899852861
46.19, 37.17, 32.0925294927
41.18, 33.13, 33.8537774742
43.49, 52.66, 34.7166385356
45.5, 42.12, 35.0694528543
37.86, 31.32, 43.7669813995
32.03, 37.53, 34.752282794
28.07, 29.45, 30.3131697242

Day10
22.88, 21.59, 25.0680332241
20.48, 21.95, 32.5045784405
20.04, 21.79, 32.7217441135
20.24, 21.4, 30.0909042793
20.32, 23.73, 18.2087014024
26.71, 24.62, 22.0224738031
31.79, 25.53, 70.9722790631
35.61, 28.8, 27.6745202989
39.45, 38.75, 25.4212969793
44.97, 35.63, 62.9411377711
47.82, 41.5, 39.6024990256
49.46, 44.13, 30.9931017231
51.13, 41.01, 42.3196764237
52.18, 38.01, 53.5480891967
52.66, 37.3, 37.3567534736
52.47, 36.97, 29.9730214052
51.86, 53.58, 34.5980835276
46.98, 38.21, 33.5526746949
39.86, 30.69, 32.3212931968
39.56, 27.23, 34.2379315067
45.76, 21.97, 37.692253523
37.95, 25.23, 44.9749824158
28.38, 27.21, 35.9246654565
22.78, 28.01, 30.4078225501
ILLINOIS.HUB
Day Ahead, Real Time, NN Output

Day1
29.21, 28.07, 22.1793809268
25.6, 22.74, 25.0173606728
25.02, 22.5, 36.4305695075
25.07, 20.55, 27.5913073317
25.63, 29.36, 20.5008389607
30.38, 30.06, 21.3890775634
36.59, 26.12, 62.8373242704
40.95, 30.48, 34.3256416249
41.93, 39.28, 25.9315869901
43.35, 40.14, 52.2840293861
44.4, 43.39, 39.9809968897
44.08, 74.55, 37.7763132727
43.72, 41.78, 33.0709636026
45.45, 36.51, 55.3326047093
45.05, 39.33, 32.4103465262
44.31, 50.6, 37.2446324585
41.13, 58.72, 38.6103919174
38.96, 66.25, 32.8722061558
37.85, 58.67, 24.7906355215
44.34, 39.21, 28.7641325416
46.3, 44.66, 31.9721291918
36.9, 39.05, 39.0776963359
29.33, 26.87, 37.0111875844
28.01, 41.36, 32.1269021135

Day2
26.17, 28.11, 21.2866009808
24.27, 25.47, 24.1138611133
24.3, 23.73, 37.6093787702
24.03, 22.56, 26.9008116785
24.64, 26.31, 20.787587883
30.06, 103.03, 20.9691868093
35.54, 36.72, 61.7245701568
39.65, 39.53, 34.8329895337
42.34, 44.77, 25.8003117229
44.56, 53.93, 50.5642937788
