MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
30.08, 25.52, 39.494, -4.56
28.45, 38.1, 36.9216, 9.65
28.29, 48.97, 37.8053, 20.68
25.94, 51.18, 32.409, 25.24
27.55, 44.56, 32.381, 17.01
26.67, 26.9, 29.9702, 0.23
28.3, 36.34, 45.6817, 8.04
33.97, 25.47, 37.0801, -8.5
28.65, 29.67, 31.9215, 1.02
22.9, 22.33, 28.1886, -0.57
21.43, 20.29, 28.0982, -1.14

Day8
17.81, 15.78, 26.3051, -2.03
16.57, 17.92, 25.0551, 1.35
16.56, 17.48, 24.5736, 0.92
16.47, 16.82, 27.5599, 0.35
18.38, 18.64, 25.7851, 0.26
22.52, 19.92, 28.9735, -2.6
35, 22.96, 45.6175, -12.04
43.86, 29.07, 38.2073, 14.79
45.46, 27.43, 34.8363, 18.03
47.09, 28.55, 51.1041, -18.54
47.74, 32.15, 39.6396, 15.59
50.57, 33.78, 40.6049, 16.79
51.25, 52.86, 37.2843, -1.61
56.89, 37.54, 39.494, 19.35
57.71, 65.48, 36.9216, -7.77
55.88, 60.66, 37.8053, -4.78
54, 91.37, 32.409, -37.37
50, 38.1, 32.381, 11.9
46.8, 41.54, 29.9702, 5.26
46, 51, 45.6817, -5
52.24, 84.49, 37.0801, -32.25
44.09, 38.02, 31.9215, 6.07
30.23, 70.36, 28.1886, -40.13
23.01, 34.93, 28.0982, 11.92

Day9
17.22, 76.38, 26.3051, 59.16
15.94, 25.37, 25.0551, 9.43
15.22, 23.75, 24.5736, 8.53
16.02, 24.07, 27.5599, 8.05
18.41, 26.34, 25.7851, 7.93
22.16, 29.11, 28.9735, 6.95
34.45, 27.45, 45.6175, -7
34.29, 34.01, 38.2073, -0.28
38.28, 39.58, 34.8363, -1.3
42.46, 43, 51.1041, 0.54
41.03, 41.75, 39.6396, -0.72
51.7, 59.34, 40.6049, -7.64
52.99, 44.08, 37.2843, 8.91
57.08, 43.85, 39.494, 13.23
59.65, 67.29, 36.9216, -7.64
55.15, 82.6, 37.8053, -27.45
48.79, 50.27, 32.409, -1.48
46.19, 37.17, 32.381, 9.02
41.18, 33.13, 29.9702, 8.05
43.49, 52.66, 45.6817, 9.17
45.5, 42.12, 37.0801, 3.38
37.86, 31.32, 31.9215, 6.54
