MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
42.56, 40.88, 34.8362, 1.68
46.53, 44.14, 51.1042, -2.39
47.61, 42.64, 39.6396, 4.97
53.33, 60.87, 40.6048, -7.54
51.53, 45.3, 37.2844, 6.23
56.46, 44.74, 39.4939, 11.72
56.09, 68.07, 36.9215, -11.98
53.66, 83.3, 37.8053, -29.64
55.45, 51.61, 32.409, 3.84
55.49, 38.43, 32.381, 17.06
49.21, 34.34, 29.9703, 14.87
51.44, 54.6, 45.6817, -3.16
53.8, 43.44, 37.0801, 10.36
42.23, 30.87, 31.9215, 11.36
37.33, 38.05, 28.1885, -0.72
35.89, 30.79, 28.0981, 5.1

Day10
28.07, 22.98, 26.3052, 5.09
27.63, 24.01, 25.0551, 3.62
26.99, 24.32, 24.5736, 2.67
27.46, 25.12, 27.5599, -2.34
27.7, 27.96, 25.7851, -0.26
31.32, 27.72, 28.9735, 3.6
35.56, 28.46, 45.6175, -7.1
40.38, 30.26, 38.2073, 10.12
42.72, 40.46, 34.8362, 2.26
48.01, 36.3, 51.1041, -11.71
50.02, 41.38, 39.6396, 8.64
49.77, 42.94, 40.6049, 6.83
53.63, 39.52, 37.2843, 14.11
51.53, 36.73, 39.494, 14.8
52.34, 36.14, 36.9216, 16.2
52.38, 36.57, 37.8053, 15.81
52.83, 52.44, 32.409, 0.39
48.74, 37.31, 32.381, 11.43
41.26, 30.5, 29.9702, 10.76
40.43, 27.47, 45.6817, -12.96
46.4, 28.95, 37.0801, 17.45
35.24, 30.34, 31.9215, 4.9
31.51, 25.32, 28.1886, 6.19
32.89, 27.17, 28.0982, 5.72
INDIANA.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
26.11, 27.93, 26.3683, 1.82
25.18, 26.11, 25.0689, -0.93
24.57, 26.31, 24.5847, 1.74
24.62, 29.63, 27.5088, 5.01
26.17, 30.02, 25.817, -3.85
29.94, 28.62, 28.9401, 1.32
35.82, 26.15, 45.5668, -9.67
41.21, 30.07, 38.2071, 11.14
44.3, 35.6, 34.7959, 8.7
46.04, 37.05, 51.138, -8.99
47.15, 41.82, 39.6345, 5.33
47.39, 71.07, 40.5481, -23.68
47.17, 37.94, 37.3352, 9.23
47.92, 35.67, 39.4456, 12.25
48.15, 36.67, 36.9107, 11.48
47.53, 35.91, 37.8105, 11.62
44.2, 39.41, 32.4406, 4.79
39.93, 53.91, 32.4271, -13.98
36.74, 62.81, 29.9895, -26.07
44.11, 46.71, 45.6856, 2.6
46.11, 48.11, 37.0564, -2
35.57, 30.17, 31.9121, 5.4
27.33, 27.43, 28.1405, 0.1
26.28, 36.64, 28.0526, 10.36

Day2
26.25, 24.47, 26.3446, -1.78
25.39, 24.25, 25.064, 1.14
24.85, 24.66, 24.5803, 0.19
25.1, 27.69, 27.5278, 2.59
26.37, 29.05, 25.8053, -2.68
31.44, 91.19, 28.9526, -59.75
36.16, 27.46, 45.5854, -8.7
41.87, 30.18, 38.2073, 11.69
42.09, 32.73, 34.8108, 9.36
45.42, 39.64, 51.1253, -5.78
46.77, 38.58, 39.6366, 8.19
46.26, 44.84, 40.5689, 1.42
47.8, 42.25, 37.3166, 5.55
47.16, 36.98, 39.4634, 10.18
47.58, 40.07, 36.9145, 7.51
47.18, 33.9, 37.8083, 13.28
45.64, 31.82, 32.4288, 13.82
42.69, 36.22, 32.4099, 6.47
37.4, 28.93, 29.9824, 8.47
44.12, 36.23, 45.6843, -7.89
44.99, 29.95, 37.0652, 15.04
36.68, 26.26, 31.9157, 10.42
29.25, 22.69, 28.1584, 6.56
26.86, 20.03, 28.0693, -6.83

Day3
26.8, 10.24, 26.327, 16.56
25.82, 17.56, 25.0601, 8.26
25.03, 14.36, 24.5773, 10.67
25.39, 12.19, 27.5421, -13.2
27.51, 23.7, 25.7963, 3.81
31.67, 26.53, 28.9619, 5.14
34.99, 32.85, 45.5997, -2.14
37.49, 60.79, 38.2073, 23.3
38.72, 32.56, 34.8221, 6.16
41.73, 32.09, 51.1159, -9.64
41.84, 44.08, 39.6379, -2.24
43.54, 32.69, 40.5849, 10.85
46.29, 48.53, 37.3022, -2.24
46.27, 33.99, 39.477, 12.28
45.96, 28.72, 36.9177, 17.24
46.28, 29.75, 37.807, 16.53
43.59, 27.75, 32.42, 15.84
40.05, 27.21, 32.397, 12.84
35.68, 26.89, 29.977, 8.79
39.1, 29.84, 45.6831, -9.26
46.19, 29.54, 37.0718, 16.65
33.45, 26.73, 31.9183, 6.72
27.43, 25.39, 28.1718, -2.04
26.58, 27.02, 28.0822, 0.44

Day4
27.07, 23.07, 26.3079, 4
25.74, 25.3, 25.0558, 0.44
25.47, 18.62, 24.5741, 6.85
26.04, 28.13, 27.5577, 2.09
27.35, 21.54, 25.7865, 5.81
32.87, 31.88, 28.9721, 0.99
37.36, 41.26, 45.6153, 3.9
41.75, 34.36, 38.2073, 7.39
46.3, 21.91, 34.8345, 24.39
46.56, 24.01, 51.1056, -22.55
47.97, 35.48, 39.6394, 12.49
46.8, 26.18, 40.6024, 20.62
48.66, 23.8, 37.2866, 24.86
47.07, 24.15, 39.4919, 22.92
46.35, 23.87, 36.9211, 22.48
45.42, 22.84, 37.8055, 22.58
42.47, 21.38, 32.4104, 21.09
39.31, 20.91, 32.383, 18.4
36.05, 20.67, 29.9711, 15.38
40.28, 26.34, 45.6818, -13.94
44.41, 25.11, 37.0791, 19.3
38.07, 24.47, 31.9211, 13.6
32.47, 25.67, 28.1865, 6.8
30.7, 22.35, 28.0962, 8.35

Day5
26.43, 21.7, 26.3063, 4.73
25.36, 21.44, 25.0554, 3.92
24.23, 21.8, 24.5738, -2.43
24.2, 22.84, 27.559, -1.36
24.97, 21.37, 25.7857, -3.6
25.75, 19.97, 28.9729, -5.78
28.16, 22.94, 45.6166, -5.22
36.12, 26.56, 38.2073, -9.56
38.22, 27.55, 34.8355, 10.67
40.01, 25.06, 51.1047, -14.95
38.54, 24.66, 39.6395, -13.88
37.73, 24.48, 40.6039, -13.25
35.39, 24.18, 37.2852, -11.21
32.09, 24.17, 39.4931, -7.92
30.68, 24.06, 36.9214, -6.62
29.81, 25.78, 37.8054, -4.03
30.03, 23.21, 32.4095, -6.82
30.24, 24.84, 32.3818, -5.4
29.6, 23.62, 29.9706, -5.98
35.26, 31.84, 45.6817, -3.42
39.77, 32.41, 37.0797, 7.36
32.44, 26.03, 31.9213, 6.41
27.55, 24.34, 28.1877, -3.21
26.55, 23.79, 28.0973, -2.76

Day6
25.61, 19.05, 26.3062, -6.56
25.14, 20.62, 25.0554, 4.52
24.66, 20.58, 24.5738, 4.08
24.45, 18.82, 27.5591, -5.63
25.02, 22.56, 25.7856, -2.46
25.11, 27.47, 28.973, 2.36
25.81, 27.21, 45.6166, 1.4
28.28, 31.32, 38.2073, 3.04
30.17, 33.67, 34.8356, 3.5
34.32, 27.32, 51.1047, -7
34.22, 26.16, 39.6395, -8.06
32.8, 27.5, 40.604, -5.3
30.28, 25.15, 37.2852, -5.13
28.7, 26, 39.4932, -2.7
27.65, 28.82, 36.9214, 1.17
26.96, 25.93, 37.8054, -1.03
28.21, 28.32, 32.4095, 0.11
29.21, 24.89, 32.3817, -4.32
29.76, 25.95, 29.9706, -3.81
36.44, 25.68, 45.6817, -10.76
47.01, 25.43, 37.0797, 21.58
35.72, 25.86, 31.9213, 9.86
27.38, 23.88, 28.1878, -3.5
25.94, 19.38, 28.0974, -6.56

Day7
25.58, 14.52, 26.3061, -11.06
23.95, 15.47, 25.0554, -8.48
23.76, 11.49, 24.5738, -12.27
24.52, 15.03, 27.5591, -9.49
27.06, 24.81, 25.7856, 2.25
34.25, 30.04, 28.973, 4.21
38.35, 55.28, 45.6167, 16.93
40.21, 30.3, 38.2073, 9.91
38.02, 24.61, 34.8356, 13.41
40.75, 25.31, 51.1047, -15.44
38.51, 24.98, 39.6395, -13.53
38.15, 25.75, 40.604, -12.4
36.21, 24.54, 37.2851, -11.67
35.53, 26.11, 39.4932, -9.42
35.24, 25.43, 36.9214, -9.81
34.44, 29.06, 37.8054, -5.38
33.56, 27.4, 32.4095, 6.16
33.75, 29.45, 32.3817, 4.3
33.09, 30.21, 29.9705, 2.88
35.94, 40.06, 45.6817, 4.12
36.99, 31, 37.0797, -5.99
29.5, 33.37, 31.9213, 3.87
26.75, 25.17, 28.1878, -1.58
26.95, 24.65, 28.0974, -2.3

Day8
24.16, 18.35, 26.3056, -5.81
23.19, 19.67, 25.0552, -3.52
23.2, 20.82, 24.5737, -2.38
23.7, 20.14, 27.5596, -3.56
25.59, 23.04, 25.7853, -2.55
29.07, 24.03, 28.9733, 5.04
34.32, 24.29, 45.6171, -10.03
37.89, 30.06, 38.2073, -7.83
37.05, 26.21, 34.836, 10.84
38.23, 28.44, 51.1043, -9.79
38.75, 32.45, 39.6396, -6.3
39.28, 33.54, 40.6045, -5.74
39.68, 52.68, 37.2847, -13
42.39, 39.57, 39.4937, 2.82
42.9, 68.32, 36.9215, -25.42
43.22, 65.02, 37.8053, -21.8
41.96, 96.05, 32.4092, -54.09
40.05, 41.39, 32.3813, -1.34
35.5, 45.59, 29.9704, -10.09
36.94, 58.61, 45.6817, 21.67
42.23, 98.83, 37.0799, -56.6
31.49, 37.21, 31.9214, 5.72
26.4, 69.26, 28.1883, 42.86
25.29, 37.61, 28.0979, 12.32

Day9
24.24, 76.87, 26.3052, 52.63
21.44, 26.45, 25.0551, 5.01
21.2, 25.59, 24.5737, 4.39
22.45, 26.31, 27.5599, 3.86
26.28, 28.54, 25.7851, -2.26
32.24, 31.1, 28.9735, 1.14
40.11, 28.61, 45.6174, -11.5
43.37, 34.35, 38.2073, 9.02
44.01, 40.04, 34.8362, 3.97
47.26, 43.05, 51.1042, -4.21
49.33, 41.78, 39.6396, 7.55
52.81, 59.83, 40.6048, -7.02
52.61, 44.45, 37.2844, 8.16
58.47, 44.1, 39.4939, 14.37
59.18, 67.27, 36.9215, -8.09
56.89, 82.46, 37.8053, -25.57
57.64, 51.19, 32.409, 6.45
55.71, 38.05, 32.381, 17.66
50.49, 33.84, 29.9703, 16.65
53.2, 53.83, 45.6817, -0.63
55.99, 42.93, 37.0801, 13.06
43.53, 30.55, 31.9215, 12.98
38.63, 37.35, 28.1885, 1.28
34.7, 30.13, 28.0981, 4.57

Day10
26.08, 22.56, 26.3052, -3.52
25.37, 23.55, 25.0551, 1.82
24.91, 23.88, 24.5736, 1.03
25.1, 24.67, 27.5599, -0.43
26.29, 27.34, 25.7851, -1.05
30.98, 27.19, 28.9735, 3.79
34.38, 27.93, 45.6175, -6.45
40.09, 29.55, 38.2073, 10.54
42.28, 39.51, 34.8362, 2.77
46.9, 35.67, 51.1041, -11.23
49.58, 40.87, 39.6396, 8.71
49.95, 42.65, 40.6049, 7.3
51.87, 39.2, 37.2843, 12.67
52.39, 36.5, 39.494, 15.89
52.9, 35.95, 36.9216, 16.95
53.22, 36.31, 37.8053, 16.91
53.74, 52.15, 32.409, 1.59
49.5, 37.11, 32.381, 12.39
42.08, 30.23, 29.9702, 11.85
41.6, 27.14, 45.6817, -14.46
47.3, 28.62, 37.0801, 18.68
35.16, 29.98, 31.9215, 5.18
29.09, 24.92, 28.1886, 4.17
27.01, 26.71, 28.0982, -0.3
